year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;9.220;2.296;1.492;1.250;1.870;2.111;3.733;1.260;6.784;0.806;7.697
2012;8.500;2.586;1.815;1.688;1.561;1.094;4.323;1.342;5.583;0.952;3.136
2011;8.321;1.587;1.891;1.423;1.488;2.115;3.667;1.167;7.000;1.048;5.860
2010;8.444;1.797;1.545;1.231;1.417;2.269;3.556;1.727;6.259;1.250;4.659
2009;9.205;2.000;1.580;1.296;1.343;2.000;4.276;1.542;7.483;1.000;5.842
2008;9.049;1.902;1.148;1.673;1.312;2.391;3.967;1.018;6.080;1.356;5.957
2007;9.278;2.404;2.122;2.179;;2.296;5.036;1.375;8.964;2.056;8.914
2006;10.972;1.837;2.000;1.512;;2.931;6.640;1.973;4.310;1.441;2.814
2005;6.804;3.000;1.450;1.588;;4.300;3.960;1.636;6.091;1.412;5.596
2004;8.720;2.140;1.950;1.550;;3.571;4.550;0.977;6.500;1.026;3.660
2003;7.200;1.895;2.054;3.105;;2.696;6.357;1.405;5.419;1.103;3.091
2002;6.312;1.740;1.756;1.462;;1.560;5.000;1.189;5.565;0.719;1.843
2001;7.053;2.516;;1.967;;4.300;6.167;1.375;3.703;0.909;3.037
2000;7.128;;;1.618;;4.143;4.000;1.444;3.538;;1.852
1999;6.256;1.538;;;;;;;6.130;;2.321
1998;5.500;1.796;;1.467;;;4.214;;;;2.542
1997;4.380;;0.913;3.385;;;;;4.974;;2.204
1996;6.086;;;;;;;;;;
1995;5.000;;;;;;;;6.522;;
