year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;28;29;24;37;17;13;23;17;21;15;14
2012;16;24;25;35;13;21;19;22;18;18;28
2011;19;30;19;41;12;12;15;23;13;24;27
2010;14;27;13;35;9;13;16;18;12;15;25
2009;21;34;17;28;9;11;14;17;19;19;23
2008;25;41;27;27;;9;17;20;13;28;32
2007;21;40;11;16;;16;18;19;16;13;21
2006;20;32;10;15;;11;15;14;16;9;26
2005;24;19;9;32;;11;19;6;19;7;27
2004;26;23;7;22;;15;15;5;12;;32
2003;17;26;4;19;;;6;8;20;;32
2002;25;30;10;21;;;6;10;11;;22
2001;13;26;8;16;;;;4;25;;23
2000;22;18;6;;;;;;9;;20
1999;20;26;20;;;;;;16;;25
1998;21;21;;;;;;;11;;
1997;;;;;;;;;33;;
